cluster,n_members,rank,feature_id,detection_rate,mean_in,mean_out,specificity_log2fc,label,category
0,36,1,13625,0.667,0.0489,0.0007,6.001,Cell-wall/glycan binders and linkers,Ligand-binding site
0,36,2,14944,1.0,0.2102,0.0042,5.599,Extracellular spike/adhesin autochaperone/autoprotease,Domain
0,36,3,9185,0.833,0.0653,0.002,4.943,Noncatalytic scaffolds and motifs,Repeat
0,36,4,13175,0.778,0.0523,0.0019,4.691,Low-complexity secretion leaders/linkers,Compositional bias
0,36,5,11471,1.0,0.4978,0.0215,4.53,Small residue-rich low-complexity tracts,Disorder
1,34,1,13233,0.765,0.092,0.0,9.846,Polyanion-contacting low-complexity segments,Compositional bias
1,34,2,6173,0.706,0.0625,0.0,9.289,Extended boundary segment activation,Other
1,34,3,12851,0.824,0.1779,0.001,7.324,AWS-SET boundary SAM-binding loop,Domain
1,34,4,15400,0.588,0.0564,0.0003,7.053,Signal peptide and domain linkers,Post-translational modification
1,34,5,5224,0.706,0.0624,0.0005,6.783,N-terminal targeting signals,Post-translational modification
2,56,1,1368,0.607,0.0557,0.0,9.124,Secreted extracellular soluble regions,Domain
2,56,2,1370,0.536,0.0166,0.0,7.382,Short low-complexity N-terminal segment,Disorder
2,56,3,13640,0.5,0.0393,0.0001,7.35,N-terminal tails and aliphatic anchors,Disorder
2,56,4,2014,0.643,0.2338,0.0015,7.199,Disordered N-terminal assembly/export tail,Post-translational modification
2,56,5,5114,0.536,0.0212,0.0001,6.972,Short N-terminal targeting arm,Disorder
3,51,1,10488,0.51,0.0442,0.0,8.791,Short interfacial binding/catalytic hotspot,Ligand-binding site
3,51,2,10835,0.549,0.11,0.0002,8.701,His/Cys coordination/catalytic motifs; disordered tails,Ligand-binding site
3,51,3,10778,0.588,0.0967,0.0025,5.237,Short cationic low-complexity loops,Compositional bias
3,51,4,7284,0.549,0.1201,0.0044,4.741,Gly/aromatic strand-coil transition motifs,Structural motif
3,51,5,741,0.549,0.0423,0.0015,4.696,Basic low-complexity surface loops,Compositional bias
4,198,1,10881,0.657,0.0951,0.0,9.895,Bacterial extracellular surface segments,Disorder
4,198,2,10240,1.0,1.0638,0.0334,4.99,Polar loop hotspots; S/T-rich disorder,Compositional bias
4,198,3,16359,0.525,0.1443,0.0049,4.864,Secreted protein ectodomain signature,Membrane-associated
4,198,4,13124,0.52,0.1254,0.0045,4.765,C-terminal capping/recognition segment,Interaction site
4,198,5,10117,0.914,0.0131,0.001,3.646,Diffuse low-complexity/disorder signature,
5,168,1,13180,0.512,0.0155,0.0012,3.567,Hydrolase core Tyr-helix motif,Disorder
5,168,2,7756,1.0,0.6468,0.1167,2.47,Glycine-rich extracellular attachment regions,Compositional bias
5,168,3,7602,0.53,0.027,0.0052,2.366,Disordered S/T-rich low-complexity repeats,Compositional bias
5,168,4,12486,0.655,0.0838,0.0233,1.842,Extracellular disulfide-bonded repeats,Domain
5,168,5,13358,0.524,0.0374,0.0106,1.813,Aliphatic-rich extracellular/scaffold domains,Compositional bias
6,164,1,10399,0.72,0.1055,0.0101,3.377,Extracellular adhesion repeat motifs,Ligand-binding site
6,164,2,14171,0.665,0.0925,0.0094,3.28,N-terminal polar linker loops,Structural motif
6,164,3,9080,0.579,0.0981,0.0125,2.958,NAD/ADPr-binding loop,Ligand-binding site
6,164,4,11956,0.555,0.0108,0.0016,2.69,Exposed edge beta-strand motif,Structural motif
6,164,5,10202,0.902,0.1283,0.0273,2.227,Extended alpha-helical regions,Structural motif
